reviewerID,asin,reviewerName,helpful,comment,rating,summary,unixReviewTime,reviewTime,month,year,word_count,sentiment,product,issue,product_clean,issue_clean
A6ZPLVAUQ6695,B000HCLLMM,"neurotome ""neurotome""","[0, 0]","This company makes all different sizes of covers for various sorts of outdoor furniture and appliances.  This particular one, the ""Large 64 inch"" grill cover, is clearly intended for Weber's line of gas grills.  It's really tough to know which grill cover goes with which grill.  After reading a few Amazon reviews, I bought the Large 64-inch to cover my new Weber Summit 470.  The prior reviews were correct: the cover fits perfectly in terms of shape, width, and depth.  However, in terms of height, it is about 6 inches too short to touch the ground.  That makes it tough - not impossible - to slip the hold-fast straps around the caster wheels; and it means that low spray (as from a lawn sprinkler, or a large amount of rain runoff) will be hitting your grill instead of the cover.  On the other hand, that means that air will be circulating in your grill's bottom compartment, where things like the drip pan live, and if you live in a mild climate that's probably a good thing.  When the covered grill gets rained on, the grill won't get wet, unless we're talking about a torrential downpour and gale-force winds; in which case, you'll want the deeper, XL-sized cover to prevent moisture entry in the bottom cabinet.The cover itself is made of a sturdy canvas-like cloth, quite tough, properly vented with rainproof vents, doesn't leak water, and is well fitted.  It has two handles, four holdfast straps to go around the casters, and the hem has an elastic drawstring.  It's easy to get on and off the grill even if you're doing it alone.  There is even a zippered pocket that goes across the top, although it's not clear to me what you'd want to keep in there - I don't use it.I'd buy this cover again, but I live in a very moderate climate in California.  If I lived in Green Bay, I'd send it back and exchange it for the XL sized cover.",5.0,"Fits Weber Summit 470, but slightly short",1283990400,"09 9, 2010",9,2010,327,75,cover,height,cover,height
AO1Z0TQWCRGL4,B007UII5EI,"Harold Wolf ""Doc""","[0, 0]","It took only a couple of days for the hummers to find this feeder and accept the liquid. That's the bottom line on hummingbird feeders. Do they work? Does it attract hummingbirds? Yes this one does.I really like the large reservoir, a full 24 oz capacity, making the juice last a long time. No funnel needed to fill this top-loading, wide-mouth, hummingbird feeder. The lid screws on and off with ease and has a dip in the lid forming a rainwater catching ring to keep ants from climbing down the hanging wire and stopping up the feeder holes. Even comes with a metal s-hook for hanging.My one dislike is the fact that the reservoir is made of glass. It's strong glass, but if dropped it will break. Of course if a plastic one is dropped while loaded, it will likely break as well.The base also separates easily for cleaning when needed. As long as the ants do not get inside, the feeder can be refilled a few times without cleaning, I have found. Perches below the white and pink plastic blossoms containing the feeder holes are enjoyed by the hummers. I've found, the feeders with perches are used more often than a hummingbird feeder with no perches.My wife makes our nectar soup. 4 parts water to one part sugar, heat to boiling, cool completely, and then fill. With all the red on this feeder, it is not necessary to add red food coloring to the nectar. The red on the feeder attracts the hungry birds.Our large capacity hummingbird feeder hangs about 18 inches outside our kitchen window, under an overhang. It is a delight to get to watch the hummers up close through the window. With the window cracked open a bit, you can even hear the wings humming as they arrive and leave. And occasionally hear a squeaking chirp, yes hummers do chirp, not hum.Our ruby throated friends love this feeder.Who can argue with a hummingbird?",5.0,"Hummers like it, enough said",1369958400,"05 31, 2013",5,2013,324,85,feeder,fragility,feeder,fragility
ATCT22YM2HUQ8,B0006G51MA,Pillowtalk,"[0, 0]","I swapped out my old plastic hummingbird feeders for this glass one because the plastic ones kept getting moldy and were so hard to clean properly. This one is the perfect size to hold 2 cups of homemade sugar syrup, which the birds love. It took a good few days to a week before the birds would use this feeder. I don't think they like the perches, as they loved my old feeders which didn't have perches. They don't seem to feed for as long on this feeder as my old feeders either. I also think they preferred my old feeders because they had the raised yellow flowers, this feeder has flat flowers which doesn't seem to attract them as much.",4.0,Took a few days for my hummingbirds to use it,1378166400,"09 3, 2013",9,2013,120,40,feeder,design,feeder,design
A11HXOFCYE85QE,B000RUM0R4,Marty,"[2, 2]","We just staked some of our tomatoes and two Knock Out roses with these. Unlike another reviewer our stakes were solid, the same kind you get at your local big box hardware store.  We did sink the stakes about 6 inches in the ground (just like we do other stakes).  We did the roses because they are so filled with blooms they needed support.  It was nice these were green because they aren't visible at all. We found ours locally.",5.0,Great support for tomatoes and other plants,1304812800,"05 8, 2011",5,2011,79,75,stakes,,stakes,
ADLVFFE4VBT8,B002XHJF9A,"A. Dent ""Aragorn""","[0, 0]","The theory behind these traps is that a dead mouse - killed by means other than the ""Kill & Seal"" disposable trap - could let loose parasites and germs that might move on to our pets or our children and that dead mouse urine or blood could trigger asthma reactions. Enter (not literally) ""Kill & Seal"" where mice come in because they smell the bait (not included) inside and are quickly killed, out of sight and sealed in so that nothing, not even germs or little parasites can get out. The trap and its victim can then be safely and hygienically disposed and a new trap can be set to catch the next mouse candidate.Operation is easy. There is a corked opening through which 'bait' is dropped into the trap. Pulling a lever will set the trap and open the door. After the mouse enters to investigate the door closes shut and the mouse is smashed dead but we don't see that unless we remove the cork through which we inserted the bait. It should be practically impossible or very difficult to reuse these traps once a mouse is caught and attempting to do so would defeat the trap's purpose of preventing germs and parasites from jumping on us.While these traps appear to be effective - one of them caught what was probably the last uncaught mouse left in our basement - they are expensive too. Dealing with more than a few mice by means of disposable Kill & Seals may not be a practical or cost-effective solution.I will grant these Made in China traps 3 stars (they are Okay) for being effective and innovative. Two stars are deducted for them lacking affordability.",3.0,Abandon all hope all ye who enter here,1292889600,"12 21, 2010",12,2010,275,45,trap,cost,trap,cost
A1YVO5V1SO18DZ,B000F0BVYE,"The Bee Bee ""BB""","[0, 0]","When you get a product to drive critters away from your property (or garden, in our case), the stuff needs to do two things well:1) Repel critters2) LastHavahart Critter Ridder Animal Repellent does both very well, and while it does cost a bit, it's worth it if you're concerned about the havoc wild animals can do to your yard and garden.Highly recommended!",5.0,"Works fast, amazingly effective",1343088000,"07 24, 2012",7,2012,62,85,Repellent,,repellent,
A3Q7TY0T4PQULD,B003NTGXF6,FA Cabs,"[0, 0]","For a long time I have been searching for a reasonably squirrel / raccoon-proof suet feeder, especially to provide our little winged guys with some useful winter supplements.  To add to our Brome Squirrel-Buster Plus and Brome Peanut + feeders.  Several suet feeders, on previous occasions, had succumbed to the destructive powers and smarts of our local raccoon families.  Unquestionably, a raccoon would destroy this feeder as well, except for the fact that I hung it in a manner and place virtually inaccessible to a raccoon (even if every neighborhood raccoon is sponsored by Nike and lives by &#8220;You Can Do It!&#8221;).  Thus far, the birds are just getting acquainted with the Stokes Double Suet Feeder.  I notice a winged patron on occasion (to my excessive delight), but can&#8217;t say that it is well-frequented thus far.  Most prefer the other feeders yet.  If / when a little one is located in the double suet feeder, the feathered friend appears to pick away comfortably and seemingly relatively relaxed.  In summary: I welcome this addition to my bird feeders, without (yet) being ecstatic about it.",4.0,Hopefully with time it'll be a hit!,1388620800,"01 2, 2014",1,2014,180,65,Feeder,,feeder,
A18HE80910BTZI,B003BVJBR8,"rbhatta ""A Dinosaur you can trust!""","[5, 5]","The Sun Joe SB600E Sharper Blade 4.5 Amp String less Electric Grass Trimmer/Edger reviewed here is very Wobbly (It vibrates a lot) and noisy and hard to get used to as you feel tired because of the vibrations using it. It also feels heavier than most String trimmer/edger because of these unwanted vibrations.While it may be conceptually a good idea as it does not need string replacement but it has a major design flaw as the motor is severely underpowered and gets compounded by the semi stiff space age plastic blade whenever it comes in contact with cutting materials like grass or weeds.IMHO, The Plastic blade is not dead center on the motor and it wobbles a lot causing severe vibrations for the person who attempts to use this productI also found that the motor does not have enough power to cut thru' simple grass as even a slight touch on the grass slows the motor down which makes it useless. The Blade may last few months as it does not seem to erode quickly but if you do the math the cost of the blade is still high close to $30 compared to Strings (less than $5) which you can buy and replace easily.Before using this I have used Homelite 13 inch. 4 Amp String Trimmer/Edger which is not sold on Amazon but in local hardware store for less than $30 dollars and had excellent results with it.I still feel that the idea of using ""string blade"" is best as you have virtually unlimited cutting power and you can easily sacrifice the string and keep going at the weeds and grass once you reload them.Sorry! Sun Joe Good Concept, But poor design! - I would not recommend this to anyone!**** Update ****Aug 25, 2011**** ****** ****While most of the points that I had mentioned above are still true, I did give this Edger another try last weekend to clean out some overgrowth and dirt off my backyard. I attempted to re-install the blade again by mounting properly and some of the vibrations were minimized. While it still got under-powered easily if you come close to the intended areas for cleanup, I noticed that by carefully balancing the trimmer and putting it down more slowly and allowing the motor to gain strength I was able to complete my task by some added balancing acts.Having said, I am going to add one star to the original review as it deserves a ""OK"" Status, Simply because the sheer size of the blade, I could clean-up a larger area than possible with a ""string blade"" trimmer/edger.Hope this helps!",3.0,Severely underpowered wobbly and noisy!,1311897600,"07 29, 2011",7,2011,425,25,Edger,vibrations,edger,vibrations
A19NP8YYADOOSF,B000WEIHPY,N. Krumpe,"[59, 63]","Like other reviewers, I purchased these stainless steel flavorizer bars to replace my rusted enameled bars.  After two years of average use (grilling once a week or so during the summer), as I was cleaning my grill I realized that these stainless steel bars are rusty...quite rusty, on both the top and bottom.I was surprised, so I contacted Weber customer service about the rust on the stainless steel bars.  They explained, and I quote:""The flavorizer bars will rust within the first year of use. This is normal due to the amount of abuse they take protecting the burner tubes. We recommend that you replace the bars once they break or fall apart. I would suggest rotating the bars for a longer longevity.""Fine.  No problem.  Based on Weber's recommendation, I assume the flavorizer bars are still doing their job, even if rusty.  However, I now believe I was too hasty in replacing my old bars.  And, when it's time to replace the stainless steel bars, I may just replace them with the less expensive porcelain enameled bars.",4.0,These WILL rust,1276819200,"06 18, 2010",6,2010,176,40,flavorizer,rust,flavorizer,rust
A22M9VM8S9YCZ6,B0029D6NZC,Mr. Fife,"[0, 0]",Great watering can...easy to use and carry...seems sturdy...just twist the head to sprinkle or pour...just the right size opening to fill,5.0,Watering Can,1368662400,"05 16, 2013",5,2013,21,90,watering-can,,watering-can,
AK6L2HOVMNIGZ,B004S8JHLS,Red Rocks 2014,"[0, 1]",This pressure washer is hard to start and has a lousy carburetor that will fill your crankcase with gas while leaking all over the ground. This is a &#34;one year&#34; design and the pump is light duty. Expect to get about 15 days of service out of it before the pump craps out. Their customer service people are not much help either.,1.0,"Nice Design...leaks gas, hard to start",1391385600,"02 3, 2014",2,2014,61,10,washer,durability,washer,durability
A3CCEL2BG4EI6U,B000XSF42S,J. Hanson,"[7, 7]","I have a fiskars hand shovel, but what I really wanted was a larger soil scoop with more capacity, this isn't it. It was smaller than I expected.  It's very well made, I do like this material for hand tools (lighter), and if you do not already have something to transfer soil for smaller job I recommend this scoop. I can transfer more soil with my hand shovel so this one hasn't seen much use at all.",4.0,"Nice Scoop, but smaller than expected",1311984000,"07 30, 2011",7,2011,77,40,scoop,size,scoop,size
A3AYF9CD4PXDJR,B00GTDI0QI,"E. Orchard ""I love lamp""","[0, 0]","I've used several Miracle Gro potting mixes and soils over the years and have never been disappointed. This one is no exception. Since I don't tend to fertilize my plants and garden myself, the addition of the fertilizer in the soil is helpful.The soil is easy to work with and pot my plants in.The one thing I didn't like was all of the random bits in the soil - twigs, sticks, what looks like wicker pieces, mulch etc. It's obviously composted from other material, which is OK, but I didn't care for the un-broken down pieces in the mixture. I feel like it's filler material they add so they can get away with selling less actual product.Everything I have planted in this soil is doing well - no problems and no complaints. I was able to pot several of my herbs with this one bag; about 25 of my seedlings were moved to 4"" pots and I still had a bit of soil left over.Price is decent, too!",4.0,Good stuff for my veggies and herbs,1395964800,"03 28, 2014",3,2014,164,75,soil,filler,soil,filler
A1AVF90QEZHCYV,B000RYPZQ8,Anastasia M. Policicchio,"[0, 0]",i was so excited to get this until i saw that lowes had it for less.  was kicking myself for my impatience as i had just ordered it that morning and it was already too late to cancel.  the kneeler itself is great though hard to pull the spring to fold and open it,3.0,convenient 2 in one,1373068800,"07 6, 2013",7,2013,54,40,kneeler,spring,kneeler,spring
A2CM63X1NLPFHW,B0007OPJM8,KenCT,"[114, 117]","I had a sears reciprocating blade pole saw, that cut very nice and clean, but broke after 10 minutes of use (I tried 2 before returning it for my money back).  This B&D; unit doesn't have a blade, it has a mini chainsaw on the end and man can it cut.  I was amazed how it chews through branches 5+ inches  thick.  It seems to be pretty good quality and even though some plastic, it is holding up well.Pro's-amazing cuts from the ground without climbing the tree-very aggressive cut rate-fairly light-pretty easy to use, very easy to use without extra extension-powerful battery-blade cover and attached oil bottle is convenient-gets branches that you would otherwise have to call the tree man to doCon's-this is a real chainsaw so don't be fooled into thinking it's a toy, keep kids away too-safety is a concern; safety glasses, heavy gloves, and a hard hat are good idea-the lower the branch the easier to cut, high branches end up right over your head and there is risk of them falling on you-it's hard to undercut the branch before top cutting to prevent tear out-it leaves a rough cut like a chainsaw, not smooth like a tree pruner-battery life is good, but it comes with just one so you can easily find yourself stuck in mid cut. A second battery is highly recommended.-included charger is a slow charger; 6 hours if completely dead. B&D; makes a fast charger for 25 bucks.I find this tool very handy. I purchased a B&D; 18V broom ($70)just to get 2 extra batteries and another charger.",5.0,"Don't be fooled, this is a real chainsaw",1174521600,"03 22, 2007",3,2007,259,75,chainsaw,battery,chainsaw,battery
A11I1I9QLMAM1A,B006QYSF5G,S. Power,"[0, 0]","This works well, but plan to check it frequently because it goes off constantly.  If you can get past the fact that it goes off 10 times for every successful result, then I highly recommend you try this.",4.0,Too sensitive but otherwise it works well.,1376179200,"08 11, 2013",8,2013,37,55,Alarm,Sensitivity,alarm,sensitivity
A2S549B4743R0S,B00005YX2U,"Michael P. Kukielka ""BORG""","[6, 7]","I use this heavily to till the soil in my flower beds because of its broad shoulders and sharp point.  Although its used mostly for troweling, it's  narrow enough to be used for planting and broad enough for transplanting.  I have a tool for every job but I find this is the only digging tool I really need to bring along.  If you're debating which type of  hand digger to get (planter, transplanter, troweler, etc.), I would stick with this trowelerThe handle is very comfortable, important when jabbing it into the ground repeatedly to loosen the soil.  The wooden tools I've used in the past have been very hard on my hands but, I come away with no pain with this design.The polished alumnium is VERY strong, light weight, mostly scratch resistant and does not rust.  The textured material on the handle does collect dirt and has to be scrubbed to get clean.",5.0,"Strong, Comfortable Grip, Lightweight Design",1190505600,"09 23, 2007",9,2007,153,85,troweler,cleaning,troweler,cleaning
A3Q15U42UMI6NP,B00004DTNH,Super User,"[0, 0]",I've purchased a lot of B&D product and edger is one of the best! The trench feature is a great addition and it works great.  I can edge my small yard in minutes and I don't have to worry about mixing fuel or having to winterize my equipment.,5.0,For small yards,1370304000,"06 4, 2013",6,2013,48,90,edger,,edger,
A3VI2VETB90ZG5,B006R93E42,J. Sullivan,"[0, 0]","I was hoping that these truly would have been the ultimate plant clip, but alas, it turns out that this is not the only clip I will ever need. The Global Garden Friends' Ultimate Plant Clip is an interesting concept at its core. These are certainly fine clips for tomato plants, or for any other small plant in need of a stake, supposing there exists enough girth between the plant and stake to hold the clip in place, or if there is a lateral branch on which the clip may rest; otherwise, these smooth, plastic clips will not hesitate to slide down.These clips have inner dimensions of almost a half an inch across the short length, by barely over one inch across from tip to snap. Closing them is a snap, quite literally, and they open up inch a pinch, also, quite literally.I believe these add a bit of whimsy to any plant on which they can stay in place; the theme is spot on. However, function is of utmost importance, and without friction of some sort to hold a clip in place, an alternate solution oftentimes becomes necessary.I enjoy the clips, but their application is somewhat limited. I eagerly look forward to using these on my next crop of tomatoes, but this did nothing for my poor little Orchid. I recommend these clips for situations in which these will be able to maintain their posts, so to speak, supposing cost is no factor, keeping in mind that they are no replacement for traditional ties. These Ultimate Plant Clips are ideal for those considering them more for either their aesthetics or their novelty, rather than for functional convenience.",3.0,Aesthetically Novel but Functionally Limited,1389312000,"01 10, 2014",1,2014,278,55,clip,sliding,clip,sliding
A2PCJ19IEGIDAP,B0029D6NZC,JC,"[0, 0]","Looks nice and holds good amount of water, but, the water spills everywhere. Thought it would be better but was disappointed. I would try other watering cans",2.0,Not that great,1369612800,"05 27, 2013",5,2013,27,35,watering-can,spills,watering-can,spills
A3CSB6EGX7D2Q9,B00004SD6U,Austin reader,"[0, 0]","I am a working Certified Arborist, ISA.  THIS is the best tool out there for pruning, no debate possible.  I use this pruner daily.  Fiskars has the BEST customer support, as well.  Nobody else comes close.  They have sent me replacement parts for everything on this unit, as I needed them.  They have even sent me two brand new units that sit unopened in my work shed, when I simply requested new cutting heads for two units.  They sent me new heads, as well.  They have NEVER charged me one penny for replacement parts or the two, new units. I strongly recommend this tool.  Again, you cannot do better.",5.0,You cannot do better!,1336435200,"05 8, 2012",5,2012,109,95,pruner,,pruner,
A3U029B8Z5WGI2,B004X7BXYI,Katherine Chan,"[0, 0]","I'm not sure what is so appealing about mealworms, but whatever it is, it's making my chicken who love me, love me even more, and making the chickens who are scared senseless of me think that I am the best thing in their world...EVER!  This stuff should be named ""better than sex cake"" for chickens!  It's that crazy - all my chickens love this stuff, the dog loves this stuff, and heck - if I would let my kids eat it, I bet they'd love it too (bugs are cool to a 4 year old apparently...no, I did not let them eat it).  The price on Amazon is also over HALF the price in any pet store.  I just bought a bag today at a pet store because I didn't want to suffer the wrath of 12 little beady eyed terrors because they didn't get their hit today, and I paid $12 for a 7 ounce bag.  Argh!  Definitely going to order some more right now...gotta make sure I've got happy chickens to get happy eggs!  According to my hens - HIGHLY HIGHLY HIGHLY recommended!",5.0,Awesome Chicken Bait,1334793600,"04 19, 2012",4,2012,178,90,mealworms,price,mealworms,price
AWRMRVKPJSZ60,B0029D6NZC,ML-L,"[0, 0]",Giant watering can that's easy to use because of the secondary moveable handle.  Though I can't explain it the secondary handle does not leak.  The reversible spray/pour nozzel head is really convenient.,5.0,easy to use because of the secondary moveable handle,1385942400,"12 2, 2013",12,2013,32,80,watering-can,,watering-can,
